symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2011-05-12,61.82,61.87,61.01,61.34,227136,103.4348750691,103.5185331693,102.0796138461,102.6317573073,113568,0.0,1.0
VOO,2011-05-13,61.284,61.85,61.1,61.81,252739,102.5380602351,103.4850699292,102.2301984264,103.418143449,126369,0.0,1.0
VOO,2011-05-16,60.9,61.51,60.81,61.1,226906,101.8955660257,102.9161948479,101.7449814453,102.2301984264,113453,0.0,1.0
VOO,2011-05-17,60.89,60.93,60.46,60.68,284789,101.8788344056,101.9457608858,101.159374744,101.5274703849,142394,0.0,1.0
VOO,2011-05-18,61.46,61.49,60.84,60.95,148795,102.8325367477,102.8827316079,101.7951763055,101.9792241259,74397,0.0,1.0
VOO,2011-05-19,61.54,61.73,61.32,61.67,537098,102.966389708,103.2842904888,102.5982940672,103.1839007685,268549,0.0,1.0
VOO,2011-05-20,61.1245,61.5,61.0,61.43,190855,102.2711908955,102.8994632279,102.062882226,102.7823418876,95427,0.0,1.0
VOO,2011-05-23,60.4,60.579,60.2,60.35,272393,101.0589850238,101.3584810225,100.7243526231,100.9753269236,136196,0.0,1.0
VOO,2011-05-24,60.35,60.68,60.26,60.58,179223,100.9753269236,101.5274703849,100.8247423433,101.3601541845,89611,0.0,1.0
VOO,2011-05-25,60.55,60.75,60.08,60.08,124550,101.3099593244,101.6445917251,100.5235731826,100.5235731826,62275,0.0,1.0
VOO,2011-05-26,60.79,60.9,60.27,60.39,128879,101.7115182053,101.8955660257,100.8414739633,101.0422534038,64439,0.0,1.0
VOO,2011-05-27,61.056,61.2,60.93,60.99,95175,102.1565792983,102.3975146268,101.9457608858,102.046150606,47587,0.0,1.0
VOO,2011-05-31,61.67,61.6799,61.2088,61.65,344999,103.1839007685,103.2004650724,102.4122384524,103.1504375285,172499,0.0,1.0
VOO,2011-06-01,60.3,61.52,60.27,61.52,443930,100.8916688235,102.932926468,100.8414739633,102.932926468,221965,0.0,1.0
VOO,2011-06-02,60.23,60.46,59.91,60.35,423591,100.7745474832,101.159374744,100.239135642,100.9753269236,211795,0.0,1.0
VOO,2011-06-03,59.65,60.09,59.5,59.5,296824,99.804113521,100.5403048027,99.5531392205,99.5531392205,148412,0.0,1.0
VOO,2011-06-06,59.02,59.59,58.9667,59.53,226484,98.7500214587,99.7037238008,98.6608419239,99.6033340806,113242,0.0,1.0
VOO,2011-06-07,58.94,59.47,58.9299,59.26,407362,98.6161684984,99.5029443604,98.5992695622,99.1515803396,203681,0.0,1.0
VOO,2011-06-08,58.7,59.044,58.63,58.85,175112,98.2146096175,98.7901773468,98.0974882773,98.4655839181,87556,0.0,1.0
VOO,2011-06-09,59.1486,59.392,58.7308,58.89,86658,98.9651900924,99.3724377241,98.2661430072,98.5325103982,43329,0.0,1.0
VOO,2011-06-10,58.32,58.93,58.2,58.92,213460,97.5788080561,98.5994368784,97.3780286157,98.5827052583,106730,0.0,1.0
VOO,2011-06-13,58.36,58.61,58.09,58.45,155792,97.6457345363,98.0640250372,97.1939807953,97.7963191166,77896,0.0,1.0
